"bedrock","zs","zb","depth","height","velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
-662.67,0,0,105.53,128.99,1703.9,-0.10375,0,1.3321e+06,-82.081,0
-675.32,0,0,104.99,128.32,1728.4,-0.10715,0,1.3442e+06,-81.659,0
-688.45,0,0,104.46,127.68,1753.4,-0.11038,0,1.3569e+06,-81.25,0
-702.1,0,0,103.96,127.06,1779.1,-0.11346,0,1.37e+06,-80.855,0
-716.26,0,0,103.47,126.46,1805.3,-0.11639,0,1.3837e+06,-80.474,0
-730.98,0,0,102.99,125.88,1832.2,-0.11918,0,1.3979e+06,-80.106,0
-746.27,0,0,102.54,125.32,1859.7,-0.12184,0,1.4126e+06,-79.751,0
-762.14,0,0,102.1,124.79,1888,-0.12436,0,1.4279e+06,-79.409,0
-778.63,0,0,101.67,124.27,1916.9,-0.12676,0,1.4438e+06,-79.08,0
-795.76,0,0,101.27,123.77,1946.6,-0.12904,0,1.4603e+06,-78.763,0
